osmid,y,x,street_count,highway,junction,geometry
659985459,433344.68273600785,430857.6883872306,4,,,POINT (430857.6883872306 433344.68273600785)
1606959380,433262.94479377987,430809.69502918026,4,,,POINT (430809.69502918026 433262.94479377987)
21069423,434454.2213250812,429792.59774397366,3,,,POINT (429792.59774397366 434454.2213250812)
921265743,433712.57399904856,429978.18832081655,2,,,POINT (429978.18832081655 433712.57399904856)
9405615115,433788.4311137551,429976.07698389626,1,,,POINT (429976.07698389626 433788.4311137551)
2377604550,433382.27924034745,430908.5067975876,3,,,POINT (430908.5067975876 433382.27924034745)
1606819527,433377.42875045654,430891.6947310472,4,,,POINT (430891.6947310472 433377.42875045654)
1296601330,433746.27806257224,430811.9770425201,3,,,POINT (430811.9770425201 433746.27806257224)
12437916586,433710.09886910394,430795.5956790932,1,,,POINT (430795.5956790932 433710.09886910394)
5506378741,433665.76305478485,430919.5772345992,1,,,POINT (430919.5772345992 433665.76305478485)
8489672962,434362.0142265463,430204.7158252629,3,crossing,,POINT (430204.7158252629 434362.0142265463)
1659456384,434273.9082967021,429925.64250861603,3,,,POINT (429925.64250861603 434273.9082967021)
6592118493,433748.97816275817,431213.9175131937,5,,,POINT (431213.9175131937 433748.97816275817)
4029217601,433936.758916429,430068.652983759,4,,yes,POINT (430068.652983759 433936.758916429)
1600382058,433959.5039195274,430060.3926399404,3,,,POINT (430060.3926399404 433959.5039195274)
1606959387,433275.5423036418,430803.2883119269,4,,,POINT (430803.2883119269 433275.5423036418)
1743296713,433937.6757125285,430435.3496766893,3,,,POINT (430435.3496766893 433937.6757125285)
10624200325,433965.5812805629,430437.1644715686,4,,,POINT (430437.1644715686 433965.5812805629)
13005195580,434167.64143570187,430609.0735610246,4,,,POINT (430609.0735610246 434167.64143570187)
13005195582,434142.41272831685,430598.0347532095,3,,,POINT (430598.0347532095 434142.41272831685)
3181227681,433490.1678744912,430907.93480688665,3,,,POINT (430907.93480688665 433490.1678744912)
3776331138,433621.96534983197,429832.1459804056,1,,,POINT (429832.1459804056 433621.96534983197)
6307064269,433621.94392731006,429839.2798793993,3,,,POINT (429839.2798793993 433621.94392731006)
4697333827,433570.8037030251,429974.96348178515,1,,,POINT (429974.96348178515 433570.8037030251)
10103026390,433391.8043610805,429983.88599129306,3,,,POINT (429983.88599129306 433391.8043610805)
5518536459,434190.1962028274,429966.16787078907,3,,,POINT (429966.16787078907 434190.1962028274)
10563335054,433452.46717714344,430712.27672811586,2,,,POINT (430712.27672811586 433452.46717714344)
6309354601,433413.9987232322,430815.14617214294,3,,,POINT (430815.14617214294 433413.9987232322)
6264670261,433384.14624499134,430835.4139178936,3,,,POINT (430835.4139178936 433384.14624499134)
5751843770,434363.62232588034,430188.33926059236,3,,,POINT (430188.33926059236 434363.62232588034)
6307064281,433613.35469261114,429839.327883016,1,,,POINT (429839.327883016 433613.35469261114)
10302853269,433630.18722405366,429931.70936306735,1,,,POINT (429931.70936306735 433630.18722405366)
6905250281,433377.46774027625,430862.0972548143,3,,,POINT (430862.0972548143 433377.46774027625)
9755805529,433585.0046564636,430382.29803167796,2,,,POINT (430382.29803167796 433585.0046564636)
10563335063,433398.18503055256,430334.5892885359,1,,,POINT (430334.5892885359 433398.18503055256)
26299410,433393.0388836117,430304.40626270836,1,,,POINT (430304.40626270836 433393.0388836117)
10103026366,433397.8467600177,430220.0240333335,2,,,POINT (430220.0240333335 433397.8467600177)
11729210421,433371.26808622875,430040.0495266018,3,,,POINT (430040.0495266018 433371.26808622875)
10103026385,433371.3056860301,430030.27359011676,4,,,POINT (430030.27359011676 433371.3056860301)
